date,Ensemble,A2C,PPO,DDPG,DJIA
2020-07-01,0.0,0.0,0.0,0.0,0.0
2020-07-02,0.0038513848028640663,0.003978324295532243,0.002362450727455112,0.0030171426475522622,0.0035900049368924325
2020-07-06,-0.001056157796661572,-0.0010319131683199645,-0.0014529296158983795,-0.0008319776050568217,0.021451689225469472
2020-07-07,0.00471903392932882,0.004787088084739599,0.00012428939585484855,0.003116209322357122,0.006031053470604952
2020-07-08,-0.005014303701850964,-0.004519698061653199,-0.0034739586485864615,-0.003652491226196375,0.01291272477375105
2020-07-09,0.006424413513384852,0.007050166725207863,0.00030768749776854953,0.006826903789520555,-0.0011222417817438046
2020-07-10,-0.0013996782442051714,-0.00041457873328243355,-0.00046559931760781215,-0.003951282883174034,0.01322442065510776
2020-07-13,0.018340277307684838,0.019000821192229456,0.007735649662655053,0.013871367968210091,0.013632425782493574
2020-07-14,0.025459946654967203,0.026412655101270666,0.009475392723960807,0.02002214552265369,0.03526792981795723
2020-07-15,0.01904745117064044,0.019523828009502475,0.007602657381942768,0.014659630245480004,0.044108420380372104
2020-07-16,0.019498015830688775,0.019513722452085824,0.007105929170459602,0.013877935691730015,0.03884753730275681
2020-07-17,0.0265919259183498,0.026746421227289874,0.0074924268626175294,0.01897227728607298,0.03640876558337114
2020-07-20,0.027916116235391364,0.028707620437004477,0.010052091464908708,0.02168293488552142,0.036755372617740756
2020-07-21,0.031950557695946014,0.032559588473746404,0.011616930606895615,0.029301366519884686,0.04295437909186228
2020-07-22,0.018174949560681775,0.01779414978625593,0.0063095151576426645,0.017913900514719083,0.049382964343949176
2020-07-23,0.011176177231038587,0.011136969864223634,-0.004916667469790803,0.014317282213718308,0.03564641225290388
2020-07-24,0.01990358505730483,0.01969375428894593,-0.0020635488478808472,0.021493620767655486,0.028557247270763586
2020-07-27,0.013710252289792058,0.013199550405563754,-0.007335174351870921,0.011564545957014172,0.03302116944014277
2020-07-28,0.024762606435179135,0.024084412131328392,-0.007089241060534879,0.02016655061429873,0.025036305701788164
2020-07-29,0.013382239970225696,0.013504460795342066,-0.012899413334506393,0.010794750920936957,0.031264834868348856
2020-07-30,0.022831770741051916,0.02405888964631231,-0.017611105465087706,0.012984398838346678,0.022486121868004805
2020-07-31,0.03721528178700373,0.038418259344236816,-0.011574309878165878,0.0254065077323804,0.026941923399617762
2020-08-03,0.04024165393592227,0.041659185827676914,-0.010835503351630638,0.0296901817402786,0.03611543600425149
2020-08-04,0.05311210651931675,0.05556442146494911,-0.005360873954799006,0.04129439957015002,0.04249081969489921
2020-08-05,0.06779297350567237,0.06990642739352548,-0.0021969473572990283,0.05188626672701302,0.05698661347016487
2020-08-06,0.06430214108588439,0.06651742494178148,0.0012638848317267914,0.05114192347907798,0.06419318617776382
2020-08-07,0.06904628931417878,0.07137274634286883,0.01098192061435399,0.055510828633136944,0.06600006602761543
2020-08-10,0.06380285481337511,0.06606800186163508,0.008410698388691573,0.05214017464831877,0.07990950421988563
2020-08-11,0.07391435901228705,0.07757433971756478,0.017593777956730783,0.061217115072210504,0.07584774335445332
2020-08-12,0.07565476062555976,0.07903409803353578,0.015231837427536865,0.060184136966684454,0.08711372421934671
2020-08-13,0.07528062763840215,0.07867417167015067,0.016182736062680947,0.05956057840289852,0.08400048420251349
2020-08-14,0.0751354043651773,0.07825863381614706,0.017657244122824434,0.06054079456537198,0.08533325541568737
2020-08-17,0.07997524330212635,0.08227224371335251,0.013947192199726732,0.06297081579792252,0.0819872490808311
2020-08-18,0.08026449207794717,0.08252879197660268,0.01113863844179197,0.059744863567482875,0.07939001108429111
2020-08-19,0.08744621031476285,0.08998919111385129,0.010496668278430654,0.06462669215425088,0.07607975073436757
2020-08-20,0.09504161089062269,0.0994233069732342,0.014832542196683063,0.06665640075506163,0.07790021557636995
2020-08-21,0.10802134914914574,0.11283127715486585,0.030240218719127743,0.07889221540622571,0.08530646490044069
2020-08-24,0.11825654808998842,0.1205951615903651,0.03201428739895995,0.08329620061429432,0.09999973437166187
2020-08-25,0.16598157303819994,0.16100871849194487,0.03383196239909436,0.11459527925604229,0.09766744166896557
2020-08-26,0.16481559146516167,0.15984770977345275,0.032798130436695105,0.11348068397678635,0.1009112949343538
2020-08-27,0.1656918307584505,0.16079419260748296,0.0344784362583046,0.11440096038555403,0.10714210091524135
2020-08-28,0.1619161070446291,0.15690544815629504,0.032208298786674305,0.11113993063740035,0.11342147893510357
2020-08-31,0.17000760728434483,0.16550638074855017,0.03553518842123404,0.11817999472431495,0.10472442767528523
2020-09-01,0.18087061969239504,0.1778244939627529,0.04185977803507601,0.1269494101261548,0.11310249724790067
2020-09-02,0.14220599296320646,0.14042595012508863,0.027693390524822004,0.09563084272083566,0.13077649614212783
2020-09-03,0.131852149957836,0.12934101494547456,0.02736497436764873,0.08560621702957438,0.09938848561869196
2020-09-04,0.10258690851370189,0.10004953770798575,0.010811297985885204,0.05692206869658811,0.09319380509179176
2020-09-08,0.12502640132671083,0.12139462754558972,0.02041218386971999,0.07540790248883922,0.06861946501693761
2020-09-09,0.11107726284404573,0.1069683605379328,0.009771302418334571,0.060886921507650626,0.08570050556662134
2020-09-10,0.11192715893195393,0.10644448337832357,0.015463933420879261,0.06052772393941441,0.06992855736111148
2020-09-11,0.12478424928760234,0.11982142134571583,0.023277708291652432,0.07312686088212117,0.0750212597537776
2020-09-14,0.12764318495319138,0.12242480550605617,0.020162917091960386,0.07457277816311292,0.0877544956647558
2020-09-15,0.12615812848385244,0.12191467805875389,0.022316929799975904,0.07454455112223268,0.08784268427301889
